91 Ozora Tsubasa
93 Renato
94 Morisaki
96 Misaki(Nankatsu)
97 Misaki(Japon)
98 Ishizaki(Nankatsu)
99 Ishizaki(Japon)
9A Nitta(Nankatsu)
9B Nitta(Japon)
9C Tachibana(Japon)
9E Hyuga(Japon)
9F Soda(Japon)
A0 Jito(Japon)
A1 Matsuyama(Japon)
A2 Sawada(Japon)
A3 Misugi(Japon)
A4 Wakabayashi
A6 Wakashimazu
A8 Meao
A9 Santana(Flamengo)
AA Jito(Kunimi)
AB Tachibana(Akita)
AD Soda(Tatsunami)
AE Misugi(Musashi)
AF Matsuyama(Furano)
B0 Hyuga(Toho)
B1 Sawada(Toho)
B2 Victorino
B4 Napoleon
B5 Pierre
B6 Pascal
B7 Diaz
B8 Schneider
B3 Kaltz(Hamburgo)
B9 Kaltz(Alemania)
BA Schester
BB Santana(Brasil)
BC Coimbra
